"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"865","BOUCHARD FOR US SENATE","MI",4146,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Civil Liberties"
"866","FRIENDS OF SHERROD BROWN","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Big Business"
"867","BEN CARDIN FOR SENATE","MD",5000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Gun Rights"
"868","CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Abortion"
"869","BOUCHARD FOR US SENATE","MI",5000,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Abortion"
"870","MARK KENNEDY 06","MN",5000,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Big Business"
"871","TOM KEAN FOR US SENATE INC","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Jobs"
"872","CARDIN, BEN","MD",5000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Abortion"
"873","TALENT FOR SENATE","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Abortion"
"874","ALLEN GEORGE","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Foreign Policy"
"875","MENENDEZ FOR CONGRESS INC.","NJ",4800,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"876","DEMOCRACY DATA & COMMUNICATIONS LLC (DDC)","PA",5441,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Civil Liberties"
"877","KYL, JON","AZ",5000,"S4AZ00030","KYL, JON","REP","W",52,"Foreign Policy"
"878","TALENT, JAMES","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Foreign Policy"
"879","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Big Business"
"880","NELSON, BEN","NE",5000,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Big Business"
"881","FRIENDS FOR MIKE MCGAVICK","WA",5000,"S6WA00248","MCGAVICK, MICHAEL SEAN","REP","L",39,"Big Business"
"882","KELLY SCOTT  & MADISON","MI",20108,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Jobs"
"883","WESTERN AMERICAN  MAILERS","MI",16791,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Taxes"
"884","BEN CARDIN FOR SENATE","MD",5000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Taxes"
"885","PEDERSON 2006","AZ",4200,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Jobs"
"886","FRIENDS OF CONRADE BURNS","MT",5000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Big Business"
"887","STEELE FOR MARYLAND INC","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Jobs"
"888","FENN COMMUNICATIONS GROUP","NE",100920,"S6NE00095","NELSON, E BENJAMIN","DEM","W",63,"Big Business"
"889","KLOBUCHAR FOR MINNESOTA","MN",5000,"S6MN00267","KLOBUCHAR, AMY J","DEM","W",57,"Foreign Policy"
"890","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Foreign Policy"
"891","MIKE DEWINE FOR U.S. SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Abortion"
"892","COMPASS MEDIA GROUP INC.","CT",37439,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Foreign Policy"
"893","BEN CARDIN FOR SENATE","MD",5000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Gun Rights"
"894","STEELE FOR MARYLAND","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Civil Liberties"
"895","MACK/CROUNSE GROUP","TN",55059,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Taxes"
"896","MACK/CROUNSE GROUP","CT",35219,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Big Business"
"897","MACK/CROUNSE GROUP","MT",34443,"S8MT00119","BURNS, CONRAD","REP","L",48,"Jobs"
"898","MACK/CROUNSE GROUP","TN",47991,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Big Business"
"899","DEMOCRATIC NATIONAL","OH",5000,"S6OH00163","BROWN, SHERROD","DEM","W",55,"Big Business"
"900","TOM KEAN FOR US SENATE","NJ",5000,"S6NJ00271","KEAN, THOMAS H JR","REP","L",44,"Civil Liberties"
"901","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Abortion"
"902","JAMES WEBB FOR US SENATE","VA",5000,"S6VA00127","WEBB, JAMES H","DEM","W",49,"Jobs"
"903","ENSIGN FOR SENATE","NV",5000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Gun Rights"
"904","TRENT LOTT FOR MISSISSIPPI","MS",5000,"S8MS00162","LOTT, TRENT","REP","W",63,"Foreign Policy"
"905","BOB CORKER FOR SENATE","TN",5000,"S6TN00216","CORKER, ROBERT P JR","REP","W",50,"Foreign Policy"
"906","STEELE FOR MARYLAND","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Jobs"
"907","ALLEN, GEORGE","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Big Business"
"908","KENNEDY, MARK RAYMOND","MN",4500,"S6MN00275","KENNEDY, MARK RAYMOND","REP","L",38,"Civil Liberties"
"909","MENENDEZ, ROBERT","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"910","WHITEHOUSE '06","RI",5000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Big Business"
"911","MICHAEL STEELE EXPLORATORY COMMITTEE","MD",5000,"S6MD03201","STEELE, MICHAEL","REP","L",44,"Taxes"
"912","BOUCHARD FOR US SENATE","MI",5000,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Jobs"
"913","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Foreign Policy"
"914","HON. MIKE BOUCHARD","MI",5000,"S6MI00335","BOUCHARD, MICHAEL J","REP","L",41,"Gun Rights"
"915","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Foreign Policy"
"916","ENSIGN FOR SENATE","NV",5000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Taxes"
